status	surface_name	site_name	species_name	formation_energy	frequencies	reference	active_site	cell_size	solvation_energy	note
gas	None	gas	H	0.0	[]	This work				
gas	None	gas	CH4	-2.8047879999999594	[54.65811394834241, 71.6372154480809, 85.06283160737877, 1327.3054904290536, 1328.4584700514204, 1330.725557378928, 1546.1307637645953, 1546.4533780416284, 2979.8141033611164, 3111.764502893397, 3113.058224727733, 3116.85996923169]	Ara	gas	gas		
gas	None	gas	HCOOH	-0.44463100000007216	[43.72567741299433, 64.68486112690252, 104.909261444243, 632.6407482270284, 675.3854520913451, 1019.7383982191781, 1089.3353610708702, 1279.444640412234, 1378.1782681275033, 1773.144654523929, 3018.413119536722, 3650.593736371482]	Ara	gas	gas		
gas	None	gas	ele	0.0	[]	This work				
gas	None	gas	H2	0.0	[6.609732955609958, 7.412936415532567, 4446.039345148636]	Ara	gas	gas		
gas	None	gas	O2	0.0	[]	Fake ads				
gas	None	gas	C2H4	-3.151863999999918	[49.41703231529869, 70.78991483142337, 820.0492350455348, 956.4753233034468, 958.5448673384166, 1050.9066621859229, 1226.315241624117, 1317.362892392438, 1464.0581175413233, 1671.0913540164495, 3104.9526507638507, 3122.0929821438303, 3180.899436849776, 3205.8969152536274]	Ara	gas	gas		
gas	None	gas	H2O	0.0	[22.43683850004124, 27.718975767750454, 75.56705373169147, 1614.4317958176293, 3736.912140852198, 3847.907685997248]	Ara	gas	gas		
gas	None	gas	CO2	-0.28416299999980765	[187.1011979905889, 187.62471159405902, 649.6814921172621, 651.2520437675124, 1339.3367542566375, 2365.1350704049096]	Ara	gas	gas		
gas	None	gas	CO	0.0	[32.93438874898954, 48.6634935472618, 2150.493326661877]	Ara	gas	gas		
ads	Cu	100	COH	0.07579556388870617	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	Ara	4foldhollow	3x3x4	-0.11 eV	
ads	Cu	100	OCCHO		[]	This work				
ads	Cu	100	OCCO	-0.43963817767766694	[161.3, 176.3, 203.4, 260.2, 323.5, 336.3, 358.5, 540.2, 654.6, 808.5, 1375.4, 1594.3]	PengRole2020	fcc	Cu36	-0.25 eV	
ads	Cu	100	OCCOH	-0.7245885728886591	[148.9, 196.4, 213.8, 243.5, 264.2, 316.5, 324.1, 512.9, 681.9, 775.4, 881, 1029.9, 1292.6, 1348.3, 3415.8]	PengRole2020	fcc	Cu36	-0.30 eV	
ads	Cu	100	O2	9.0	[]	Fake ads				
ads	Cu	100	C	0.3542168924347424	[263.5, 578.6, 579.2]	Ara	4foldhollow	3x3x4	0.00 eV	
ads	Cu	100	OCC	-1.6930933384440918	[249.5, 308.4, 312.4, 588.2, 588.9, 1211.2, 2106.8]	Ara	4foldhollow	3x3x4		
ads	Cu	100	CH3	-1.684983338837708	[95.8, 103.5, 226, 278.8, 545.5, 547.6, 1166.3, 1400.4, 1403.8, 2944.3, 3014.7, 3016.4]	PengRole2020	fcc	Cu36	0.00 eV	
ads	Cu	100	CH2	-0.5883676026155673	[152, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008]	PengRole2020	fcc	Cu36	0.00 eV	
ads	Cu	100	H	0.06761497321621071	[459.5, 563, 995.3]	Ara	4foldhollow	3x3x4	0.00 eV	
ads	Cu	100	HCOO	-1.3532771071449134	[115.45977391462726, 140.4502755771889, 263.7642243126667, 297.9825189557745, 349.94217517421, 744.5409669753979, 1006.7874923274447, 1317.388460275174, 1351.9343041574618, 1520.1395468391418, 2979.345434024833]	Ara	bidentate	3x3x4		
ads	Cu	100	OH	-0.016913009787670637	[35.4, 126.8, 307.9, 511.8, 534, 3660.9]	PengRole2020	fcc	Cu36	0.00 eV	
ads	Cu	100	CO	-0.7422116246892647	[2040, 306.9, 268.2, 261.1, 99.7, 68.7]	Ara	atop	3x3x4	-0.06 eV	
ads	Cu	100	COOH	-0.353694714288173	[50.05685760447358, 168.75377939707457, 212.4799148320516, 281.7712648709612, 300.6749988890594, 371.1931219214402, 647.6675447247027, 676.7999853196307, 1073.0920558869273, 1253.3287776635334, 1489.1216788541221, 3516.7890727847584]	Ara	bidentate-up	3x3x4		
ads	Cu	100	OCCH	-1.7639984449490465	[]	PengRole2020	fcc	Cu36		
ads	Cu	100	CHOH	-0.06740331908907715	[3656.8, 2964.2, 1378.6, 1198.8, 1018.8, 704.1, 400, 328, 216.2, 208.9, 152.2, 63.3]	PengRole2020	fcc	Cu36	-0.11 eV	
ads	Cu	100	CH	-0.4702578444893639	[379, 380, 503.1, 599.3, 599.4, 3065.5]	PengRole2020	fcc	Cu36	0.00 eV	
ads	Cu	100	CHO	-0.10233705646900516	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	PengRole2020	fcc	Cu36	-0.11 eV	
ts	Cu	100	OC-COH	0.3535839391994414	[]	PengRole2020				CO_ads+COH_ads+(Ga, 0.87 eV)
ts	Cu	100	H-CO-ele	0.5877883753107354	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	PengRole2020				CO_ads+H_gas+ele_gas+(Ea, 1.33 eV)
ts	Cu	100	OCCO-H-ele	-0.15363817767766696	[193.8, 232.2, 247.3, 320.6, 327.4, 341.4, 370.5, 527.8, 650.3, 830., 1081., 1319.6, 1395.1, 1595.8, 2555.3]	PengRole2020				H_gas+OCCO_ads+ele_gas+(Ea, 0.286 eV)
ts	Cu	100	COOH-H-ele	0.296305285711827	[]	This work				H_gas+COOH_ads+ele_gas+(Ea, 0.65 eV)
ts	Cu	100	OC-CHO	0.20545131884173018	[]	PengRole2020				CO_ads+CHO_ads+(Ga, 1.05 eV)
ts	Cu	100	CH2-CH2	0.055264794768865366	[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]	PengRole2020				2.0*CH2_ads+(Ea, 1.232 eV)
ts	Cu	100	H-CO2-ele	0.30345197321640305	[]	This work				CO2_gas+H_ads+slab_slab+ele_gas+(Ea, 0.52 eV)
ts	Cu	100	CO2-H-ele	-0.22416299999980766	[]	This work				CO2_gas+H_gas+2.0*slab_slab+ele_gas+(Ea, 0.06 eV)
ts	Cu	100	OCC-H-ele	-0.9980933384440919	[4.5, 161.9, 254.5, 279.2, 515.6, 540.5, 568.4, 1035.7, 1170.2, 2074.6, 3118.0]	PengRole2020				H_gas+OCC_ads+ele_gas+(Ea, 0.695 eV)
ts	Cu	100	OC-CH	-0.25546946917862867	[113.7, 246.1, 283.6, 327.0, 366.8, 470.1, 619.1, 941.1, 1841.5, 2969.2]	PengRole2020				CO_ads+CH_ads+(Ea, 0.957 eV)
ts	Cu	100	COH-H	1.0804105371049169	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	PengRole2020				H_ads+COH_ads+(Ea, 0.787 eV)
ts	Cu	100	CH3-H	-0.8783683656214972	[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]	PengRole2020				H_ads+CH3_ads+(Ea, 0.739 eV)
ts	Cu	100	H-ele	0.81	[902.6, 1205.4, 1784.9]	PengRole2020				H_gas+slab_slab+ele_gas+(Ea, 1.07 eV)
ts	Cu	100	H2-ele	0.5676149732162107	[420.6, 445.7, 799.4, 1078.9, 1145.2, 1915.9]	PengRole2020				H_gas+H_ads+ele_gas+(Ea, 0.76 eV)
ts	Cu	100	H-H	1.0276149732162108	[129.1, 218.3, 426.7, 4083.2]	PengRole2020				H_ads+(Ea, 0.96 eV)
